"","Dataset","Model","FS_Method","RA","CLR","logRA","PA"
"116","CD1","SVM","Relief100",0.766354166666667,0.763858974358974,0.781657051282051,0.770927884615385
"117","CD1","SVM","Relief50",0.771762820512821,0.761902243589744,0.782628205128205,0.764285256410257
"118","CD1","SVM","RF100",0.722684294871795,0.818830128205128,0.820282051282051,0.786897435897436
"119","CD1","SVM","RF50",0.708826923076923,0.796980769230769,0.819830128205128,0.77
"120","CD1","SVM","VAE",0.646086538461539,0.693253739316239,0.50348344017094,0.610730769230769
"121","CD2","Boosting","AE100",0.668570785939207,0.753423301844355,0.792113617376775,0.773630229419703
"122","CD2","Boosting","AE50",0.682177880598933,0.829730094466937,0.699607994344836,0.767662103977893
"123","CD2","Boosting","LASSO",0.808647259173575,0.802610372084056,0.806378124799177,0.785327421116895
"124","CD2","Boosting","MIFS100",0.7439666473877,0.786295867874815,0.790030203714414,0.733637619690251
"125","CD2","Boosting","MIFS50",0.72513848724375,0.792880920249341,0.781648351648352,0.70967032967033
"126","CD2","Boosting","mRMR100",0.815685688580425,0.805473941263415,0.801101471627787,0.795995437311227
"127","CD2","Boosting","mRMR50",0.820387828545723,0.824581325107641,0.806160272476062,0.798967290019922
"128","CD2","Boosting","Relief100",0.793711843711844,0.781445922498554,0.786172482488272,0.805701433069854
"129","CD2","Boosting","Relief50",0.802538397275239,0.778452541610436,0.784076858813701,0.815116637748217
"130","CD2","Boosting","RF100",0.82361287834972,0.806160272476062,0.791659276396119,0.809919670972303
"131","CD2","Boosting","RF50",0.802418225049804,0.799536662168241,0.788194203457361,0.793065355696935
"132","CD2","Boosting","VAE",0.574295353769038,0.799778934515777,0.570366942998522,0.713042863569179
"133","CD2","KNN","AE100",0.669811387442966,0.732771672771673,0.734537626116573,0.751261487050961
"134","CD2","KNN","AE50",0.659386607544502,0.759077180129812,0.718856435961699,0.75768523873787
"135","CD2","KNN","LASSO",0.741838570785939,0.769543088490457,0.790750915750916,0.798931945247735
"136","CD2","KNN","MIFS100",0.755506072874494,0.777699697962856,0.767108476319002,0.777638647901806
"137","CD2","KNN","MIFS50",0.758165927639612,0.796426000899685,0.783488207698734,0.703973073709916
"138","CD2","KNN","mRMR100",0.722616798406272,0.795420281472913,0.809181929181929,0.804751301330249
"139","CD2","KNN","mRMR50",0.712312190733243,0.826335711072553,0.823969217916586,0.821105648737228
"140","CD2","KNN","Relief100",0.685476511792301,0.761573806310649,0.770683118051539,0.786201079622132
"141","CD2","KNN","Relief50",0.669246835036309,0.762077951288478,0.78690411927254,0.810341237709659
"142","CD2","KNN","RF100",0.740577405051089,0.765546880020564,0.771795835743204,0.770116316432106
"143","CD2","KNN","RF50",0.707863569179359,0.793285778548937,0.790151018572071,0.800212389949232
"144","CD2","KNN","VAE",0.609874365400681,0.771010217852323,0.58228648544438,0.700852772958036
"145","CD2","LogisticRegression","AE100",0.754373754900071,0.837953859006491,0.810197930724247,0.827536790694685
"146","CD2","LogisticRegression","AE50",0.696225178330442,0.837237966711651,0.781630357946147,0.836110147162779
"147","CD2","LogisticRegression","LASSO",0.756811901548744,0.821515326778485,0.830824497140286,0.826947496947497
"148","CD2","LogisticRegression","MIFS100",0.818866718077245,0.826849816849817,0.827442002442002,0.782769744875008
"149","CD2","LogisticRegression","MIFS50",0.791716470663839,0.837050318102949,0.829668401773665,0.727140286613971
"150","CD2","LogisticRegression","mRMR100",0.822015937279095,0.845886511149669,0.838780284043442,0.840901613006876
"151","CD2","LogisticRegression","mRMR50",0.826728359359938,0.852461924040871,0.848937728937729,0.841590193432299
"152","CD2","LogisticRegression","Relief100",0.761107897950003,0.818356789409421,0.831764025448236,0.840643274853801
"153","CD2","LogisticRegression","Relief50",0.785727138358717,0.815438596491228,0.822004369899107,0.845501574448943
"154","CD2","LogisticRegression","RF100",0.771167020114389,0.827850395218816,0.827349784718206,0.827806696227749
"155","CD2","LogisticRegression","RF50",0.796067090803933,0.83030525030525,0.827582417582418,0.829367007261744
"156","CD2","LogisticRegression","VAE",0.589536662168241,0.856853672643146,0.564572328256539,0.701170233275496
"157","CD2","RandomForest","AE100",0.69597647966069,0.778651757599126,0.813911702332755,0.80183085919928
"158","CD2","RandomForest","AE50",0.682581453634085,0.827293875714928,0.747190411927254,0.806758563074353
"159","CD2","RandomForest","LASSO",0.849660690187006,0.800145877514298,0.812324722061564,0.823257181415076
"160","CD2","RandomForest","MIFS100",0.806143885354412,0.789800141379089,0.781859777649251,0.768480174795964
"161","CD2","RandomForest","MIFS50",0.769350941456205,0.792848788638262,0.787582096266307,0.743481781376518
"162","CD2","RandomForest","mRMR100",0.849087462245357,0.806076730287257,0.810004498425551,0.838874750980014
"163","CD2","RandomForest","mRMR50",0.852032967032967,0.815013173960542,0.809120236488658,0.836767238609344
"164","CD2","RandomForest","Relief100",0.841909260330313,0.778944797892166,0.786209755157123,0.847254675149412
