,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
497,CD2,KNN,0.7776996979628558,0.0466609143431397,0.66875,0.2665182495117187,MIFS100
498,CD2,LogisticRegression,0.8268498168498168,0.0633689615635151,0.7525,0.3144066143035888,MIFS100
499,CD2,SVM,0.8351413790887476,0.0680297293038115,0.78,0.2377381229400634,MIFS100
500,PAR1,RandomForest,0.6452952380952381,0.0879163907995944,0.5850114942528736,25.720910024642944,MIFS100
501,PAR1,Boosting,0.6363682539682539,0.0802310636392684,0.5862988505747126,0.6414663410186767,MIFS100
502,PAR1,KNN,0.6129142857142856,0.0867062399330974,0.5594942528735632,0.4029481792449951,MIFS100
503,PAR1,LogisticRegression,0.6227174603174603,0.0820688932550626,0.5654252873563219,0.4609185886383056,MIFS100
504,PAR1,SVM,0.5348444444444445,0.1133471613101639,0.559080459770115,0.3485090160369873,MIFS100
505,PAR2,RandomForest,0.6650303662010978,0.0665967526274372,0.6413749434644958,21.768265285491943,MIFS100
506,PAR2,Boosting,0.6750584740462791,0.0466581079993966,0.6353143374038897,2.1621775436401367,MIFS100
507,PAR2,KNN,0.6415055416579807,0.0531523311212903,0.6041881501582993,0.4210987091064453,MIFS100
508,PAR2,LogisticRegression,0.6963951775415189,0.0650319603740917,0.6456264133876074,0.4926409816741943,MIFS100
509,PAR2,SVM,0.6862304912792717,0.0607398034369496,0.6155676164631388,0.3889278221130371,MIFS100
510,PAR3,RandomForest,0.7499900525525526,0.0458628477522613,0.6832149097262668,42.70402118682861,MIFS100
511,PAR3,Boosting,0.7357838704088704,0.0415135346895254,0.6832615026208504,4.79264877319336,MIFS100
512,PAR3,KNN,0.7152285314160315,0.041116588273644,0.6627839254513687,0.7381536769866943,MIFS100
513,PAR3,LogisticRegression,0.7482480942480941,0.0461667384429582,0.6946961754999029,0.9027497005462648,MIFS100
514,PAR3,SVM,0.7451922788172789,0.0539859973278048,0.6686585129101146,0.7017957592010498,MIFS100
515,HIV,RandomForest,0.6892781556063262,0.0740699716522653,0.8354285714285714,45.460865297317504,MIFS100
516,HIV,Boosting,0.6570350495014433,0.0720798394284639,0.8245714285714285,1.6078522968292237,MIFS100
517,HIV,KNN,0.6760469245346509,0.0787308993426704,0.8320000000000001,0.686847734451294,MIFS100
518,HIV,LogisticRegression,0.7299470449675008,0.0612068965373108,0.8337142857142856,0.8113372135162353,MIFS100
519,HIV,SVM,0.7105563820555054,0.0761788695785349,0.822857142857143,0.6098387050628662,MIFS100
520,OB,RandomForest,0.693173076923077,0.0691112964550656,0.7801002506265664,19.237056941986083,MIFS100
521,OB,Boosting,0.7151107226107227,0.0748216473763514,0.7659398496240603,1.0665779495239258,MIFS100
522,OB,KNN,0.7274970862470862,0.083039552678532,0.7801002506265664,0.3793262672424316,MIFS100
523,OB,LogisticRegression,0.7967336829836829,0.0764212348612208,0.7907393483709274,0.4377273559570312,MIFS100
524,OB,SVM,0.8171212121212121,0.0814550508069988,0.8136090225563909,0.3301762390136719,MIFS100
525,CDI,RandomForest,0.8894733858455663,0.0360164290371871,0.8083406496927129,12.260194158554077,MIFS100
526,CDI,Boosting,0.9129284520825874,0.0223780519330206,0.844091308165057,1.3895939636230468,MIFS100
527,CDI,KNN,0.8676461988304095,0.0419867340184693,0.77801580333626,0.3054385185241699,MIFS100
528,CDI,LogisticRegression,0.9124161594462348,0.0237230374366153,0.841747146619842,0.3701924037933349,MIFS100
529,CDI,SVM,0.9115186776464972,0.0314391050146157,0.8263652326602282,0.2977948760986328,MIFS100
530,CIR,RandomForest,0.7394666666666667,0.119030435104537,0.7121666666666668,8.790535192489624,MIFS100
531,CIR,Boosting,0.7205878787878787,0.1041455003950014,0.6701666666666665,0.3813321685791015,MIFS100
532,CIR,KNN,0.6697090909090909,0.1250288262078794,0.6625,0.2385373973846435,MIFS100
533,CIR,LogisticRegression,0.7317696969696971,0.098036506009548,0.6965,0.2541254997253418,MIFS100
534,CIR,SVM,0.7270666666666666,0.0943397809514759,0.6940000000000001,0.2055253887176513,MIFS100
535,IBD1,RandomForest,0.7445384615384616,0.1455911526218977,0.7871345029239767,8.170600328445435,MIFS100
536,IBD1,Boosting,0.7222857142857144,0.1208733345268414,0.7673684210526315,1.0939460372924803,MIFS100
537,IBD1,KNN,0.7127087912087912,0.1528260682897229,0.7383625730994151,0.2352298355102539,MIFS100
538,IBD1,LogisticRegression,0.7618571428571428,0.1134299021961705,0.7469005847953215,0.2573880672454834,MIFS100
539,IBD1,SVM,0.7455384615384615,0.1225953165545329,0.7539181286549708,0.2023303318023681,MIFS100
540,IBD2,RandomForest,0.6554114774114775,0.1093805699749083,0.6316205533596838,5.744382972717285,MIFS100
541,IBD2,Boosting,0.6433553113553114,0.1177131298558244,0.6160474308300395,0.4125895404815674,MIFS100
542,IBD2,KNN,0.6774432234432236,0.1205379283626676,0.6109881422924901,0.2230496883392334,MIFS100
543,IBD2,LogisticRegression,0.6997875457875459,0.106319655864595,0.655810276679842,0.2350303363800049,MIFS100
544,IBD2,SVM,0.7045030525030525,0.120509702131849,0.6634782608695652,0.1918135643005371,MIFS100
545,MHE,RandomForest,0.7594545454545454,0.1172131239968385,0.6936666666666668,8.7609299659729,MIFS100
546,MHE,Boosting,0.7182424242424242,0.1307421143286922,0.6970000000000001,0.3943282794952392,MIFS100
547,MHE,KNN,0.702109090909091,0.1563489887431055,0.4803333333333334,0.2419051456451416,MIFS100
548,MHE,LogisticRegression,0.715709090909091,0.1339742085563873,0.6916666666666668,0.251890640258789,MIFS100
549,MHE,SVM,0.7461333333333334,0.1294230832270374,0.6833333333333332,0.2005807018280029,MIFS100
550,ART,RandomForest,0.5015424836601308,0.1319136102298989,0.7159683794466403,26.32352807044983,MIFS100
551,ART,Boosting,0.5310065359477124,0.1486811981388194,0.665296442687747,0.5527386951446533,MIFS100
552,ART,KNN,0.5305228758169934,0.1614153354068528,0.7510671936758894,0.3923018264770508,MIFS100
553,ART,LogisticRegression,0.515921568627451,0.1318842024802659,0.7128853754940713,0.4408241462707519,MIFS100
554,ART,SVM,0.4835294117647059,0.1406690226492764,0.7211857707509881,0.3384431076049805,MIFS100
555,CRC1,RandomForest,0.6994430736977907,0.0552576698208128,0.6534693877551021,340.39704340934753,mRMR50
556,CRC1,Boosting,0.6600989742187445,0.0453598172605318,0.6257142857142858,2.2428869247436523,mRMR50
557,CRC1,KNN,0.6580134585585775,0.0397777655059327,0.6130612244897958,0.3283065128326416,mRMR50
558,CRC1,LogisticRegression,0.7112081782040763,0.0399552281918335,0.6473469387755102,0.4130020713806152,mRMR50
